Team,Opponent Team,Date,Site,Incident,Time,VAR used,Decision
Racing,Boca,2024-06-20,Monumental,simulación de falta,11',Yes,Roja
Lanús,Boca,2025-05-30,Libertadores de América,empujón dentro del área,41',Yes,Gol válido
Huracán,Independiente,2025-01-15,Libertadores de América,contacto leve en el área,15',Yes,Roja
Lanús,San Lorenzo,2024-03-18,Cilindro,entrada fuerte desde atrás,86',No,No penal
Huracán,Racing,2025-05-25,Cilindro,remate desviado tras rebote,25',No,Amarilla
Boca,Racing,2023-08-04,La Bombonera,simulación de falta,38',Yes,Gol anulado
San Lorenzo,Lanús,2025-02-12,Libertadores de América,simulación de falta,50',Yes,Gol válido
Boca,Huracán,2023-07-27,Cilindro,gol legítimo,72',No,Gol anulado
Boca,Lanús,2023-09-05,Cilindro,gol con la mano,79',Yes,Roja
Vélez,Huracán,2023-08-06,La Bombonera,entrada fuerte desde atrás,38',No,Amarilla
River,Lanús,2023-06-21,Monumental,codazo en salto,48',No,No penal
Vélez,Huracán,2023-11-04,La Bombonera,codazo en salto,75',No,Offside
River,San Lorenzo,2024-11-19,Cilindro,codazo en salto,2',No,Penal
River,Independiente,2025-02-21,Nuevo Gasómetro,gol legítimo,39',No,Gol anulado
Independiente,Huracán,2024-09-26,Monumental,empujón dentro del área,11',Yes,Amarilla
Huracán,Boca,2023-06-16,Nuevo Gasómetro,codazo en salto,70',No,Penal
Vélez,Lanús,2024-09-14,Libertadores de América,simulación de falta,66',No,Roja
River,Vélez,2025-02-03,Nuevo Gasómetro,gol legítimo,28',No,Penal
San Lorenzo,Huracán,2025-02-12,Libertadores de América,simulación de falta,9',No,No penal
Racing,Vélez,2024-07-30,La Bombonera,posición adelantada en el gol,61',No,Penal
San Lorenzo,Independiente,2025-03-25,La Bombonera,entrada fuerte desde atrás,8',Yes,Amarilla
Vélez,Huracán,2023-10-25,Monumental,entrada fuerte desde atrás,34',Yes,Gol válido
San Lorenzo,Racing,2023-08-16,Monumental,mano en el área tras un centro,15',No,Offside
Boca,Racing,2024-04-09,Libertadores de América,mano en el área tras un centro,69',Yes,Gol anulado
Vélez,Huracán,2025-02-25,Monumental,posición adelantada en el gol,70',No,No penal
San Lorenzo,River,2024-04-01,La Bombonera,mano en el área tras un centro,16',No,Offside
Independiente,Lanús,2024-08-21,La Bombonera,gol legítimo,60',No,Gol válido
Lanús,San Lorenzo,2024-11-23,Libertadores de América,remate desviado tras rebote,87',Yes,Offside
Lanús,River,2025-05-25,Nuevo Gasómetro,gol con la mano,11',Yes,Gol válido
Independiente,San Lorenzo,2023-06-23,Nuevo Gasómetro,gol legítimo,25',Yes,Penal
River,Lanús,2023-10-12,Monumental,simulación de falta,23',No,No penal
Lanús,San Lorenzo,2024-08-11,Monumental,mano en el área tras un centro,23',Yes,Roja
Vélez,Boca,2025-04-29,Nuevo Gasómetro,gol con la mano,80',Yes,No penal
Lanús,Vélez,2024-03-21,Nuevo Gasómetro,entrada fuerte desde atrás,40',Yes,Offside
Lanús,Independiente,2024-08-23,Nuevo Gasómetro,codazo en salto,66',No,Gol anulado
San Lorenzo,Huracán,2024-12-29,Monumental,empujón dentro del área,54',No,Gol anulado
